name,date_iso,amount_usd_millions,round,category,category_group,sector,lead_investors,other_investors,source,valuation_usd_millions,chains,defillama_id
Horizon Blockchain Games,2021-07-29,4.5,Seed,,,"Horizon Blockchain Games is driving Web3 adoption by making blockchain easy, fun and powerful for users and developers.",,"BITKRAFT Ventures, Golden Ventures, Khaled Verjee, The Xchange Company, Zyshan Kaba, CMT Digital",,,,
Schwap,2023-05-25,0.5,Pre-Seed,DEX,,"On-Chain OTC Exchange With An Emphasis on Trustlessness, Permissionlessness, and Handling Size",,,https://twitter.com/0xSchwap/status/1661510188128518150?s=20,,,
Coinsquare,2018-02-08,28.6,Series B,Trading,DeFi & CeFi,"Coinsquare is a cryptocurrency trading platform for trading Bitcoin, Ethereum, XRP, and other digital currencies.",Canaccord Genuity Group,,,,,
APRO Oracle,2024-10-07,3.0,Seed,Infrastructure,Web3 Infrastructure & Tools,Empowering next-gen ecosystems with Oracle 3.0 - where Bitcoin-level security meets cutting-edge tech,"Polychain Capital, Franklin Templeton, ABCDE","Comma3 Ventures, UTXO Management, Presto, Oak Grove Capital, CMS Ventures",https://x.com/APRO_Oracle/status/1843313910067364316,,,
Kresus,2023-03-07,25.0,Series A,,,"Web3 app: wallet, exchange, guide",Liberty City Ventures,"Franklin Templeton, JetBlue Technology Ventures, Marc Benioff",https://twitter.com/TheBlock__/status/1633097931967397893,,,
Harbor,2021-08-06,7.0,Debt Financing,,,"Harbor is the engine through which SME's can access cost effective, user-friendly and efficient financing for trade.",MakerDAO,,,,,
Drip Capital,2017-01-01,5.0,Seed,,,Drip Capital offers trade financing product targeted towards SMEs in developing markets.,,"Abstract Ventures, Accel, Caffeinated Capital, Initialized Capital, Liquid 2 Ventures, Wing Venture Capital, Y Combinator",,,,
Trovio,2018-06-01,1.51,Series A,,,Trovio is an Australian Fintech startup that has developed a platform for the digitisation of gold and other precious metals.,Capital Markets Technologies,,,,,
Jointer,2020-11-28,10.0,Series A,DeFi,DeFi & CeFi,World's first COMMERCIAL REAL ESTATE BACKED DeFi,,,,,,
GRVT,2025-01-21,5.0,Strategic,Trading,DeFi & CeFi,"World's first licensed DEX, redesigning finance. Building true CeDeFi. Mainnet Alpha LIVE",Further Ventures,,https://www.theblock.co/post/336009/abu-dhabi-backed-vc-firm-zksync-crypto-exchange-grvt,,Ethereum,5599
Topic.Market,2023-09-15,2.0,Strategic,Web3,,social platform where you can trade hot topics,Bakery Incubator,,https://x.com/bakery_swap/status/1702606089454514655,,Ethereum,
Arcium,2024-05-09,5.5,Strategic,Infrastructure,Web3 Infrastructure & Tools,parallelized confidential computing network,Greenfield Capital,"Coinbase Ventures, Heartcore web3, Longhash Ventures, L2 Iterative Ventures, Staking Facilities, SMAPE Capital, Everstake, Anatoly Yakovenko, Keone Hon, Mert Mumtaz, Santiago Roel Santos, Kenny Li, Lucas Bruder",https://x.com/ArciumHQ/status/1788557786537689447,,Solana,
Dibbs,2021-07-27,13.0,Series A,,,"Dibbs is a trade and collects in the only real-time, 24-7 fractional card market.",,"Channing Frye, Chris Paul, Courtside Ventures, Deandre Hopkins, Founder Collective, Foundry Group, Kevin Love, Kris Bryant, Skylar Diggins-Smith, Tusk Venture Partners",,,,
Veda,2025-06-23,18.0,,DeFi,DeFi & CeFi,"Veda is a leading DeFi vault platform, enabling crypto applications, asset issuers, and protocols to build consumer-grade cross chain yield products. Veda's technology is powering many of DeFi's largest vault products",CoinFund,"Coinbase Ventures, Maelstrom, GSR, Animoca Brands, BitGo, Mantle Network, Draper Dragon, Credibly Neutral, Relayer Capital, PEER VC, Alumni Ventures, Heartcore Capital",https://x.com/veda_labs/status/1937130381465039310,,,
Quantstamp,2018-01-04,0.12,Pre-Seed,Smart contract security,,Leaders in Blockchain Security,Y Combinator,,,,,
BEAM,2021-05-20,2.0,,L1,Base Layers & Scaling,BEAM is an one layer privacy blockchain scalable confidential cryptocurrency based on Mimblewimble and Lelantus-MW.,,"Alternity Capital, Altonomy, Bering Waters Ventures, Collider Ventures, Ivo Georgiev, Lionschain Capital, Patrick Dai, Taureon, Winslow Strong, Youbi Capital",,,,chain#beam
Weeshing,2017-04-01,1.0,Seed,,,"The first crowdfunding for shows, connecting artists with fans who could profit from  a VIP experience.","NXTP Ventures, Venture Capital SpA",,,,,
BitKeep,2023-03-22,30.0,,Web3,,decentralized multi-chain wallet,Bitget,,https://twitter.com/BitKeepOS/status/1638508093016518658,,"Ethereum, BSC, OKExChain, Avalanche, Fantom, Polygon, Arbitrum, Solana, Tron, StarkNet, zkSync, Shardeum",
PolySign,2022-06-29,53.0,Series C,Infrastructure,Web3 Infrastructure & Tools,Digital asset infrastructure,,"Cowen Digital, Brevan Howard, GSR",https://twitter.com/mpolicastro/status/1541770468390105089,,,
BOSONIC,2021-04-20,7.05,Corporate Round,,,BOSONIC is a Fintech platform that eliminates counterparty credit and settlement risk in digital assets trading.,,,,,,
Leadercf.com,2017-12-01,11.339,Series B,,,Leadercf.com is a Guangzhou-based fintech and peer-to-peer company.,Shenzhen Qianhai Huxing Asset Management,,,,,
AlgoTrader,2018-03-19,1.47,Seed,Trading,DeFi & CeFi,AlgoTrader is the global leader in institutional trading technology for digital assets covering the entire trade lifecycle.,NeueCapital Partners,,,,,
RociFi,2021-11-01,2.7,Seed,DeFi,DeFi & CeFi,RociFi is a decentralized zero and under-collateralized lending protocol.,,"Arrington XRP Capital, GoldenTree Asset Management, LD Capital, Nexo, Skynet Trading",,,Polygon,2064
GrainChain,2020-03-08,8.2,Series B,,,GrainChain creates an exchange platform with blockchain-based solutions for prompt payment and accountability.,"Eden Block, Medici Ventures",,,,,
DeCharge,2025-03-27,2.5,Seed,DePIN,Web3 Infrastructure & Tools,the Solana ecosystem's decentralized electric vehicle charging network,Lemniscap,"Colosseum, Daedalus, Escape Velocity, Levitate Labs",https://www.chaincatcher.com/en/article/2174512,,,
Solv Protocol,2021-08-30,4.0,Seed,NFT,"NFT, Gaming & Metaverse",NFT Marketplace,,"Blockchain Capital, Shima Capital, The Spartan Group, CMT Digital, CMS Holdings",https://cryptobriefing.com/solv-raises-over-4-million-in-series-a-round-to-bring-voucher-finance-defi/,,Ethereum,parent#solv-protocol
Zengold,2019-04-18,4.0,Angel Round,DeFi,DeFi & CeFi,Zengold is a decentralized gold application based on the Yuan world.,,"Benson Oak Ventures, Elron Ventures, Samsung Ventures",,,,
Meridian Money,2024-09-24,4.0,Seed,DeFi,DeFi & CeFi,Central Liquidity Hub,"ParaFi Capital, Borderless Capital","Amber Group, Saison Capital, Interop Ventures, Oak Grove Capital, DCF God, Serafund",https://x.com/meridian_money/status/1838631708331249778,,,
Aleph Zero,2021-08-01,9.9,ICO,L1,Base Layers & Scaling,Aleph Zero is a public blockchain platform developed to solve the shortcomings of current infrastructure layers in several industries.,,,,,,chain#aleph zero
Canaan Creative,2017-05-08,43.45,Series A,Mining,Web3 Infrastructure & Tools,Canaan Creative is a producer of Blockchain servers and solutions for repetition ASIC chips.,,"Baopu Asset Management, Fundamental Labs, Jinjiang International, Tunlan Investment",,,,
GamerBoom,2025-02-14,9.0,,Gaming,"NFT, Gaming & Metaverse","A gaming data layer driven by AI tagging system, aiming to bring billions into Web3",,"Nvidia, Solana Ventures, Bing Ventures, Mask Network, Digital Finance Group, Jsquare, Sky Ventures",https://x.com/Gamerboom_/status/1890341496731353358,,,
Animoca Brands Japan,2022-08-26,45.0,Series A,,,,"MUFG Bank, Animoca Brands",,https://twitter.com/wublockchain/status/1562988347886149632?s=21&t=I65odVATdeOqdW-mFxs9Qw,500.0,,
TrustSwap,2021-05-01,2.4,Seed,DeFi,DeFi & CeFi,"TrustSwap is a foundational layer in decentralized finance, enabling safe, and customizable transactions for the global crypto ecosystem.",,,,,Ethereum,1913
Jiritsu,2023-09-19,10.2,Seed,Infrastructure,Web3 Infrastructure & Tools,Verifiable computing,gumi Cryptos Capital,"Susquehanna Private Equity Investments, LLLP, Republic Capital",https://x.com/TheBlock__/status/1704134530422960247,,,
Bitmain,2017-09-02,50.0,Series A,Mining,Web3 Infrastructure & Tools,Bitmain is a design and manufacture of high performance computing chips and software.,"IDG Capital, Sequoia Capital China",Sinovation Ventures,https://www.bloomberg.com/news/articles/2017-09-04/sequoia-idg-are-said-to-invest-in-china-bitcoin-mining-giant,,,
Eidoo,2017-10-17,27.9,ICO,,,"Eidoo is a multidimensional, multicurrency crypto platform that helps to improve how people manage their assets.",,,,,,
Hyperithm,2021-08-06,11.0,Series B,,,"Hyperithm is a private digital asset manager based in Tokyo and Seoul, serving institutional investors and high net-worth individuals.",,"Cocone, Coinbase Ventures, GS Futures, Guardian Fund, Hashed, Samsung Next, Wemade Tree",,,,
Ten,2023-12-04,7.5,Seed,L2,Base Layers & Scaling,Layer 2 rollup that hyper-scales and encrypts Ethereum,,"Republic Capital, KuCoin Labs, R3, Big Brain Holdings, One Block Capital, Magnus Capital, Builder Capital, DWF Labs, Cryptopia VC, Insignius Capital, Token Metrics Ventures, Pragma Ventures, GTS Ventures, vVv, TPC Club, Cogitent Ventures, BeGlobal",https://x.com/tenprotocol/status/1731762376641552515,,Ethereum,
Merit Labs,2018-05-09,1.0,Seed,,,"Merit Labs is the company behind Merit, an invite-only digital currency.",,,,,,
Stackup,2025-06-20,4.2,Seed,CeDeFi,DeFi & CeFi,Stackup is a crypto-focused digital asset management platform that leverages smart wallet technology to streamline financial operations for crypto companies,1kx,"yCombinator, DCG, Goodwater Capital, SevenX Ventures",https://x.com/stackup_fi/status/1936062728030110151,,,
Propy,2020-10-02,1.2,,Infrastructure,Web3 Infrastructure & Tools,Propy is an end-to-end real estate transaction management platform that facilitates real estate transactions online.,,,,,,
REINNO,2018-04-04,1.0,Pre-Seed,,,Real estate tokenization and lending company with a focus on providing liquidity.,,Viktor Viktorov,,,,
PublicVine,2016-12-31,1.385,Seed,,,Ledger Payments & Streaming Video,,,,,,
Ejara,2022-11-28,8.0,Series A,,,Crypto and savings platform,"Anthemis, Dragonfly Capital","Mercy Corps Ventures, CoinShares, Lateral Capital, Circle Ventures, Moonstake, Emurgo, Hashkey Capital, BPI France, Jason Yanowitz",https://techcrunch.com/2022/11/28/cameroonian-crypto-and-savings-platform-ejara-raises-8m-led-by-anthemis-and-dragonfly/,,,
Milkomeda,2022-10-19,3.1,Seed,L2,Base Layers & Scaling,Layer 2 Protocol (Rollups) to bring new capabilities to existing blockchains,Archetype Ventures,"dlab, Coinbase Ventures, Sora Ventures, Algorand Foundation, Arrington Capital, SOSV, Circle Ventures",https://twitter.com/coin_voice/status/1583810552811245569?s=20,,"Cardano, Algorand",chain#milkomeda c1
Sumi Network,2023-02-02,3.0,Seed,Infrastructure,Web3 Infrastructure & Tools,Web3 infrastructure provider,Scytale,"Fuse Capital, D1 Ventures, Digital Finance Group",https://twitter.com/TheBlock__/status/1621128369961324544,30.0,Polkadot,
Ondefy,2023-01-03,1.0,,,,DeFi Superapp,,"AngelDAO, Paraswap, Stacker Ventures, Caballeros Capital, White Loop Capital, Cryptoast, YellowSpoon, Tenzor Capital, Stake Capital, HyperGrowth",https://twitter.com/ondefy/status/1610305695219437568,,"Polygon, Ethereum",
Moon Mortgage,2022-10-11,3.5,Seed,,,Crypto mortgage,,"CoinFund, Cadenza Ventures",https://twitter.com/MoonMortgageio/status/1579819186859438082?s=20&t=nl1xk6JH_F1v2f7EcD8xsQ,,,
Compass Mining,2021-02-02,1.7,,Mining,Web3 Infrastructure & Tools,Compass Mining is platform which makes bitcoin mining accessible to everyone.,,"CMT Digital, CoinFund, CoinShares, Galaxy Digital, Kesha Ventures, Rarestone Capital, Zac Prince",,,,
Propine,2018-11-22,1.17,Seed,,,Propine is a regulated tokenization and custody provider for digital assets.,,"Chainfund Capital, Decacorn Capital, Entrepreneur First, Golden Gate, Kingsley Advani, LuneX Ventures, MTZ Holdings, Xpanasia",,,,
Elliptic,2016-03-20,5.0,Series A,Analytics,"AI, Analytics & Data",Elliptic makes cryptocurrency transaction activity more transparent and accountable.,,"DCG, June Fund, Mouro Capital, Octopus Ventures, Paladin Capital Group, WndrCo",,,,
Wildxyz,2022-12-01,7.0,Seed,,,NFT marketplace,Matrix Partners,,https://medium.com/wildxyz/wildxyz-debuts-with-7m-in-seed-funding-to-bring-immersive-art-to-the-blockchain-63e29f175593,,Ethereum,
Metadome.ai,2021-12-20,4.0,Seed,Metaverse,"NFT, Gaming & Metaverse",Metadome is a metaverse that provides the no-code infrastructure to millions of creators and brands to build immersive experiences.,,"100x Entrepreneur, Chiratae Ventures, Lenskart, Prashant Pitti, Seeders",,,,
Injective,2020-07-29,2.6,Seed,DeFi,DeFi & CeFi,"Injective is the blockchain built for finance. It is an open, interoperable network for applications shaping the future of DeFi.",,"AU21 Capital, Axia8 Ventures, Bitlink Capital, Bitscale Capital, BoxOne Ventures, Cabin VC, Cumberland DRW, Innovating Capital, K42, Krypital Group, OK Blockchain Capital, Pantera Capital, QCP Soteria",,,"Ethereum, Polygon",349
Equilibrium,2020-09-25,5.5,,,,Equilibrium is a software service with a consensus based governance system.,,"BitBlock Capital, Bitrise Capital, BKEX Global, Pnyx Ventures, Signal Ventures, Taureon, TI Capital, YBB Foundation",,,,
Coinalytics Co.,2015-09-10,1.1,Seed,Analytics,"AI, Analytics & Data",Coinalytics is a venture-backed startup that provides real-time intelligence for decentralized blockchain platforms.,The Hive,,,,,
ULedger,2017-09-01,1.0,Pre-Seed,,,ULedger is building the Generation 4 Data BlockChain to power every busines,,,,,,
Dfns,2020-12-01,1.09,Pre-Seed,,,Crypto custody as an API,,"ABN AMRO & Techstars Future of Finance Accelerator, Bpifrance, Chris Adelsbach, Figment, Julien Bouteloup, Rand Hindi, SGH CAPITAL",,,,
Sophon,2024-05-08,60.0,,Infrastructure,Web3 Infrastructure & Tools,modular blockchain powered by zkSync and Celestia,,,https://x.com/CoinDesk/status/1788192195960242570,,"zkSync, Celestia",
Argo Blockchain,2021-03-12,9.95,Post-IPO Equity,Mining,Web3 Infrastructure & Tools,"Argo is a blockchain technology company that offers cryptocurrency mining, smart contract fulfillment, and ease of transactions.",,,,,,
Bedrock,2024-05-02,,Seed,Liquid Staking Protocol,DeFi & CeFi,Liquid Staked Bitcoin (uniBTC),"OKX Ventures, LongHash, Comma3 Ventures","Waterdrip Capital, Amber, Arche Fund, WhaleGround, LBank Labs, Fisher Yu",https://x.com/Bedrock_DeFi/status/1785882397130846374,,Bitcoin,parent#bedrock
ChainNode,2018-03-02,15.75,Series A,,,ChainNode is an online blockchain community.,,"Bitmain, Daocin Capital, Funcity Capital, Puhua Capital, QF Capital, Vision Plus Capital",,,,
USD.AI,2025-08-14,13.4,Series A,DeFi,DeFi & CeFi,USD.AI is a GPU-collateralized stablecoin lending protocol tailored for AI startups,Framework Ventures,"Dragonfly Capital, Arbitrum Foundation, Flowdesk, CMT Digital, Big Brain Holdings, hermeneutic",https://x.com/USDai_Official/status/1955990379851034944,,,
CDRX,2019-01-16,15.0,Series A,,,"Trade global equities, bonds and derivatives as securitised tokens (Crypto Depository Receipts) - faster, cheaper and fractionally",,,,,,
Giza,2023-07-11,3.0,Pre-Seed,Web3,,"A verifiable, extensible framework to superpower web3 & ML",CoinFund,"Arrington Capital, StarkWare, LambdaClass, TA Ventures, Rand Hindi, Julien Bouteloup",https://twitter.com/gizatechxyz/status/1678785801189031936,,,
Celo,2018-06-25,6.5,,L1,Base Layers & Scaling,Celo is an open platform that makes financial tools accessible to anyone with a mobile phone.,,"a16z, Arianna Simpson, Avichal Garg, Coinbase Ventures, Curious Endeavors, Elad Gil, Future Perfect Venture, General Catalyst, Jack Dorsey, Kilowatt Capital LLC, Lakestar, Naval Ravikant, Nima Capital, Polychain, Social Capital, SV Angel, Version One Ventures",,,Celo,chain#celo
Woleet,2018-11-28,1.14,Seed,,,"Woleet is a digital notary solution, based on the Bitcoin blockchain.",,"50 Partners, Bank of the Philippine Islands, OneRagtime",,,,
Tagomi,2020-06-30,11.0,Series A,Centralized Exchange,DeFi & CeFi,"Tagomi is a cryptocurrency trading platform that provides access to priced liquidity, low commissions, and maximized client return.",ZhenFund,,,,,
Liqwid Labs,2022-11-30,2.7,Seed,,,decentralized interest rate curves for lending and borrowing on Cardano,cFund,"Shima Capital, Animoca Brands, Altonomy, Genblock Capital, OptimFi, Double Peak Group, Bitrue",https://twitter.com/liqwidfinance/status/1597592725100302338,,Cardano,
Phantom,2025-01-16,150.0,Series C,Wallet,,The friendly crypto wallet built for DeFi & NFTs.,"Sequoia Capital, Paradigm","a16z crypto, Variant Fund",https://x.com/phantom/status/1880018917068009527,3000.0,"Solana, Ethereum, Polygon",5398
Access Protocol,2023-10-27,1.2,Seed,Web3,,Web3 content monetization,,"DV Ventures, CMS Holdings, Sora Ventures, Double Peak",https://x.com/AccessProtocol/status/1717875346974945515,,,
Revolving Games,2022-09-09,13.2,Seed,,,Gaming Studio,Pantera Capital,"Animoca Brands, Polygon, Dapper Labs, Dan Houser",https://twitter.com/Revolving_Games/status/1568232773516656641,,,
API3,2020-11-12,3.0,Seed,DeFi,DeFi & CeFi,API3 is a decentralized API (dAPI) network that enables data providers to become their own blockchain â€˜oracles.,,"Accomplice, Buck Stash, Cashican People LLC, CoinFund, Crowd Venture Capital, DCG, Equilibrium Capital, Hashed, Pantera Capital, Placeholder, Raystone Capital, Solidity Ventures",,,Ethereum,1339
DAM Finance,2022-08-12,,Strategic,DeFi,DeFi & CeFi,Stablecoin,Arrington XRP Capital,,https://twitter.com/DAM_Finance/status/1557747682697007104,,Ethereum,2510
Sona,2023-12-08,6.9,Seed,Web3,,Web3 music streaming platform,,"Polybius Capital, Haun Ventures, Rogue Capital",https://x.com/Crypto_Dep/status/1732444344571838887,,,
Coinmetro,2022-11-07,7.0,Private,,,Exchange,,,https://twitter.com/CoinDesk/status/1589579338277609472,,,
crowdhouse,2018-03-01,7.43,Debt Financing,,,Transactional Real Estate Marketplace,,,,,,
Openledger,2024-07-02,8.0,Seed,AI,"AI, Analytics & Data",The Sovereign Data Blockchain for AI,"Polychain Capital, Borderless Capital","Finality Capital Partners, Hash3, HashKey Capital, TRGC, STIX, Mask Network, MH Ventures, WAGMI Ventures, Sreeram Kannan, Balaji Srinivasan, Sandeep Nailwal, Kenny Li, Scott Moore, Chainyoda, Vyas Krishnan, Sebastien Borget, Paul Taylor, Alan Curtis, Trevor Koverko, Aniket Jindal, Dino",https://x.com/OpenledgerHQ/status/1808134645935993009,,,
Blockmetrix,2021-11-10,18.98,,Mining,Web3 Infrastructure & Tools,Blockmetrix is a Bitcoin mining company that offers a peer-to-peer payment network that helps validate crypto transactions.,,,,,,
SMART VALOR,2017-11-20,1.51,Seed,CeFi,DeFi & CeFi,SMART VALOR is European regulated digital asset investment platform and blockchain infrastructure provider,,"Denis Shulakov, Marius Messerli, Markus Rinderer",,,,
0Chain,2017-12-04,5.85,ICO,,,"0Chain is a blockchain-secure data protection platform - near-impossible to breach, reduces liability, audit, and dispute resolution costs.",,,,,,
Backed,2024-04-30,9.5,Series A,RWA,DeFi & CeFi,"Fully backed, tokenized real-world assets",Gnosis,"Exor Seeds, Cyber Fund, Mindset Ventures, Stake Capital Ventures, Blockchain Founders Fund, Blue Bay Capital, Nonce Classic",https://x.com/BackedFi/status/1785358266844790975,,,2919
Equity Shift,2021-09-15,2.0,Seed,,,Intelligent operations platform that helps private entities effortlessly manage corporate activities with digital efficiency.,,,,,,
ABE Global,2018-08-15,3.0,Seed,Centralized Exchange,DeFi & CeFi,ABE is a global securities exchange.,,"Distributed Global, Galaxy Digital, gumi Cryptos Capital",,,,
Cardinal,2022-07-23,4.4,Seed,,,,,,https://twitter.com/cardinal_labs/status/1550517616405491715,,,
Mercado Bitcoin,2021-11-30,50.0,Series B,Centralized Exchange,DeFi & CeFi,CEX,"10T Holdings, Tribe Capital",,https://www.coindesk.com/business/2021/11/30/brazilian-crypto-unicorn-2tm-raises-50-million-in-series-b-round-extension/,,,
Glass,2022-09-27,5.0,Seed,Social Platform,,NFT video platform,"1kx, TCG Crypto",,https://www.axios.com/2022/09/27/exclusive-nft-video-platform-glass-raises-5m-led-by-tcg,,Solana,
peaq,2024-05-17,20.0,CoinList sale,Infrastructure,Web3 Infrastructure & Tools,peaq is a Berlin based deep-tech company developing decentralized infrastructure for the Economy of Things.,,,https://x.com/peaqnetwork/status/1791158696052916499,,,
Voltix AI,2025-02-13,10.0,,AI,"AI, Analytics & Data",Voltix AI is a decentralized network that harnesses idle CPU resources to power AI and DePIN solutions,BLCK Labs,,https://x.com/VoltixAI/status/1889934416031752622,,,
Minna Electric Power,2018-12-07,3.548,Corporate Round,,,Minna Electric Power is an Electricity retail service for corporations and individuals company.,,"Dentsu Group, MARUI GROUP, SBI Investment, Sega Sammy Group, TBS Innovation Partners, Tokai Tokyo Financial Holdings",,,,
Orange DAO,2022-08-23,80.0,,DAO infrastructure,,investment DAO,"Near, Algorand Inc.",,https://techcrunch.com/2022/08/23/y-combinator-80-million-web3-crypto-startup-venture-capital-dao/,,,
Legitimate,2024-04-03,4.3,Seed,Web3,,Connect physical products to customizable digital experiences powered by NFTs and Web3,Lemniscap,"Draper Associates, Sfermion, Jeff Miyahara, Factor Capital",https://x.com/LegitimateTech/status/1775445475673686425,,"Avalanche, Ethereum, Polygon",
Gata,2025-04-30,4.0,Seed,AI,"AI, Analytics & Data",Gata is a decentralized AI data infrastructure project,,"YZi Labs, Maelstrom, MH Ventures, Manifold, IDG Blockchain, Anti Capital, Formless Capital, V3V Ventures, WAGMI Ventures, Echo, Dewhales Capital, Zero Seven One Labs, Gate Ventures",https://x.com/gata_xyz/status/1917534401212174362,,,
Polymer Labs,2024-01-23,3.6,Seed,Infrastructure,Web3 Infrastructure & Tools,,"DistributedG, NorthIslandVC","Ignite, DCG, Coinbase Ventures, Wintermute Ventures, The Lao, BlockchainAG, Taureon, Longhash Ventures, Signum Capital, UOB Ventures, Joe Lallouz, Karim Atiyeh, Martin Mao, Sam Kazemian, Andrew Masanto, Loong Wang",https://twitter.com/PolymerDAO/status/1499105644455944192,,Cosmos,
Nym Technologies,2021-11-17,13.0,Series A,,,Nym Technologies is a privacy-centric startup,,"a16z, DCG, Fenbushi Capital, HashKey, Huobi Capital, Tayssir Capital",,,,
Hashrental,2018-05-18,13.26,ICO,,,First Decentralized Hashing power marketplace,,"James Sowers, Soros Fund Management",,,,
Harmony,2019-04-02,18.0,Seed,L1,Base Layers & Scaling,Harmony is a secure blockchain aimed to scale trust and create a radically fair economy.,,"AU21 Capital, BCA Fund, Consensus Capital Holdings, Lemniscap, UniValues Associates",,,,chain#harmony
BetaBlocks,2021-11-17,1.5,Seed,,,BetaBlocks is a Co-Builder and Accelerator of early-stage blockchain technology companies.,,"Ocean Azul Partners, SaaS Ventures, E3 Negocios",,,,
Stardust,2020-02-01,0.35,Pre-Seed,Metaverse,"NFT, Gaming & Metaverse",Stardust is a Software Platform for games building in the metaverse,,,,,,
Chia Network,2018-03-28,3.4,Seed,L1,Base Layers & Scaling,Chia Network is building a blockchain platform based on Proofs of Space and Time.,,"a16z, Craft Ventures, DCM Ventures, DHVC, Greylock Partners, MetaStable Capital, Naval Ravikant, Quiet Capital, True Ventures",,,,
Vest Exchange,2025-03-11,5.0,,DeFi,DeFi & CeFi,Vest Exchange is a decentralized perpetual futures platform that leverages zero-knowledge proofs,,"Jane Street, Selini Capital, Amber Group, QCP Capital, Big Brain Holdings, Mozaik Capital",https://x.com/VestExchange/status/1899574324165750803,,"zkSync Era, Arbitrum, Base, Optimism, Ethereum, Polygon",4400
Kadena,2018-04-01,2.25,Seed,L1,Base Layers & Scaling,"Kadena provides a hybrid blockchain platform, including the only sharded and scalable layer-1 PoW public network.",,"Asimov Ventures, CoinFund, Collider, George Burke, Kilowatt Capital LLC, MetaStable Capital, Multicoin Capital, Scalar Capital",,,Kadena,chain#kadena
Covee Network,2018-05-01,1.62,Seed,,,Covee Network is a network for decentralized data science collaboration.,"Atlantic Labs, LocalGlobe",,,,,
GameDAO,2021-11-22,2.0,Series A,,,"Fundraising, Ownership and Coordination for Videogames, Digital Arts, eSports",Outlier Ventures,,,,,
Goldsky,2022-09-13,20.0,Seed,,,Data Infrastructure,"Felicis, Dragonfly Capital","Elad Gil, Zach Perret, William Hockey, Zhuoxun Yin, Uniswap Labs Ventures, 0x Labs, Alex Xu, Robert Leshner",https://twitter.com/goldskyio/status/1569719103891308545,,,
DeCurret,2020-04-10,25.38,Debt Financing,,,"DeCurret provides optimal rate of digital currency, instantly processing a large amount of currency transactions stably.",Internet Initiative Japan,,,,,
CertiK,2018-03-01,3.5,Seed,Smart contract audits,,CertiK leverages formal verification technology to mathematically ensure security in systems software.,"Binance Labs, DHVC, Lightspeed Venture Partners, Wing",,,,,
Matrixport,2021-08-02,100.0,Series C,,,"Matrixport is a digital assets financial services platform where users can invest, trade, and leverage crypto assets.",,"A&T Capital, C Ventures, Cachet Group, CreditEase Fintech Investment Fund, Dragonfly Capital, DST Global, Foresight Ventures, IDG Capital, K3 Ventures, Lightspeed China Partners, Palm Drive Capital, Polychain, Qiming Venture Partners, Tiger Global Management, CMT Digital",,,,
Volt Protocol,2022-04-12,2.0,Seed,,,inflation-resistant stablecoin,,,https://twitter.com/VoltProtocol/status/1513516371035889667,,,
Yun Qu Technologies,2020-04-08,1.4,Corporate Round,Analytics,"AI, Analytics & Data",Yun Qu Technologies provides a variety of information services related to blockchain.,OKEx,,,,,
Unocoin,2020-04-22,3.03,Series A,Centralized Exchange,DeFi & CeFi,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.",Disrupt Ventures,,,,,
Wert,2022-04-09,4.0,Equity,,,Crypto payment tools,Tagus Capital,,https://twitter.com/wert_io/status/1512004819761913860,,,
Mythical Games,2021-11-04,150.0,Series C,Gaming,"NFT, Gaming & Metaverse",Mythical Games is a video game engine for player-owned economies.,a16z,"D1 Capital, RedBird Capital, The Raine Group, Binance Labs, FTX Ventures, 32 Equity, Mantis VC, Ryan Tedder, OneTeam Partners, The Kraft Group, Michael Gordon, Michael Jordan, Curtis Polk, 23XI Racing, Galaxy Interactive, Westcap, 01 Advisors, Javelin Partners, Struck Capital, Alumni Ventures, Signum Growth Investments",https://www.businesswire.com/news/home/20211104005468/en/Mythical-Games-Raises-150M-in-Series-C-Funding-Led-by-Andreessen-Horowitz-at-1.25B-Valuation,1250.0,,
Anchorage Digital,2021-12-15,350.0,Series D,CeFi,DeFi & CeFi,crypto platform for institutions,KKR,"Goldman Sachs, Alameda Research, a16z, BlackRock, Blockchain Capital, Delta Blockchain Fund, PayPal Ventures, Kraken Ventures",https://twitter.com/Cointelegraph/status/1471060991924342784,3000.0,,
ParaFinance,2023-10-04,5.0,Seed,DeFi,DeFi & CeFi,Decentralized lending platform,OKX Ventures,"Kosmos Ventures, Uniswap Labs Ventures, Gate Labs",https://x.com/ParaFinanceLabs/status/1709389832815071375,,,
EQIBank,2021-03-22,9.98,Series A,CeFi,DeFi & CeFi,EQIBank is a global digital banking that provides traditional banking services for corporates and businesses.,"Canaccord Genuity Group, Gravitas Securities",,,,,
Phi Commerce Pvt Ltd,2021-01-07,4.0,Series A,Infrastructure,Web3 Infrastructure & Tools,"Payments Facilitator, Payments solution provider etc.",,"BEENEXT, Yatra Angel Network",,,,
KYD Labs,2025-05-14,7.1,Seed,RWA,DeFi & CeFi,a company focused on revolutionizing live event ticketing through blockchain technology,a16z crypto,"Finality Capital Partners, Ambush, Techstars",https://x.com/KYDLabs/status/1922642579448824234,,,
Ceras Ventures,2020-12-01,30.0,Pre-Seed,,,A global leading investment firm that focuses on the fast-growing Web 3.0 and blockchain companies.,,,,,,
Bitfold,2020-07-01,3.2,Seed,,,Research and inventions in the field of blockchain and cybersecurity,,,,,,
